timestamp,speed,category
24153,481,1
24154,467,1
24155,454,1
24156,445,1
24157,433,1
24158,440,1
24159,448,1
24160,437,1
24161,414,1
24162,413,1
24163,412,1
24164,416,1
24165,415,1
24166,397,1
24167,404,1
24168,406,1
24169,400,1
24170,396,1
24171,399,1
24172,399,1
24173,403,1
24174,419,1
24175,404,1
24176,420,1
24177,383,1
24178,386,1
24179,386,1
24180,382,1
24181,379,1
24182,375,1
24183,374,1
24184,373,1
24185,362,1
24186,352,1
24187,358,1
24188,357,1
24189,362,1
24190,365,1
24191,361,1
24192,359,1
24193,356,1
24194,353,1
24195,348,1
24196,353,1
24197,348,1
24198,353,1
24199,345,1
24200,343,1
24201,339,1
24202,339,1
24203,339,1
24204,337,1
24205,337,1
24206,331,1
24207,333,1
24208,334,1
24209,332,1
24210,329,1
24211,325,1
24212,327,1
24213,325,1
24214,324,1
24215,321,1
24216,320,1
24217,319,1
24218,317,1
24219,314,1
24220,307,1
24221,304,1
24222,307,1
24223,309,1
24224,309,1
24225,312,1
24226,316,1
24227,317,1
24228,315,1
24229,314,1
24230,308,1
24231,304,1
24232,306,1
24233,299,0
24234,304,1
24235,313,1
24236,314,1
24237,311,1
24238,309,1
24239,304,1
24240,308,1
24241,313,1
24242,333,1
24243,329,1
24244,322,1
24245,317,1
24246,320,1
24247,320,1
24248,317,1
24249,314,1
24250,312,1
24251,306,1
24252,300,1
24253,297,0
24254,303,1
24255,301,1
24256,288,0
24257,291,0
24258,284,0
24259,284,0
24260,288,0
24261,297,0
24262,294,0
24263,304,1
24264,304,1
24265,307,1
24266,294,0
24267,293,0
24268,293,0
24269,290,0
24270,292,0
24271,296,0
24272,291,0
24273,289,0
24274,290,0
24275,288,0
24276,297,0
24277,294,0
24278,302,1
24279,321,1
24280,337,1
24281,332,1
24282,328,1
24283,321,1
24284,351,1
24285,442,1
24286,450,1
24287,559,2
24288,514,2
24289,549,2
24290,596,2
24291,639,2
24292,633,2
24293,636,2
24294,617,2
24295,604,2
24296,590,2
24297,573,2
24298,586,2
24299,586,2
24300,580,2
24301,569,2
24302,567,2
24303,554,2
24304,542,2
24305,534,2
24306,529,2
24307,529,2
24308,501,2
24309,479,1
24310,473,1
24311,461,1
24312,471,1
24313,491,1
24314,495,1
24315,471,1
